type,exclude,date,date_end,what,what_translation,institution,department,where,additional_info,additional_info2,url,slides,video,short_cv,order,academic,professional_2_page,website,one_column_paged,brief_no_pubs,humanities,humanities_description
education,NA,2017-03-01,2022-06-26,PhD in Integrative Biotechnology,NA,NA,NA,"Sungkyunkwan University, South Korea",Supervisor: [Jae Youl Cho](https://biotech.skku.edu/eng_biotech/intro/faculty_genetic.do?mode=view&perId=LZStrNQewVgcgSgIgLgRQCoGUDCwCcBmA9AgIwFkAbGANwHcBeaoA%20&),Thesis: Pathophysiological Role of Protein Methylation and Demethylation in Gastric Cancer,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
education,NA,2012-06-01,2016-07-25,"B Pharm, School of Pharmacy",NA,NA,NA,"Institut Teknologi Bandung, Indonesia",Supervisors: [Neng Fisheri Kurniati](https://fa.itb.ac.id/nfkurniati/),"Thesis: Antibacterial and Antifungal Activities of Ethanol Extract of the Roots, Flowers, and Leaves of Turi (Sesbania grandiflora L. Poir)",NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
internship,NA,2015-07-01,NA,Isolation and purification of hGCSF from Escherichia coli,NA,NA,NA,"Laboratory of Protein Engineering and the Development of Drug Delivery System, Center for Biotechnology Research. Indonesian Institute of Science (LIPI)",NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
awards,NA,2017-03-01,NA,Outstanding Foreign Student Scholarship Award : Full Tuition Fee for Combined Master and PhD Course,NA,NA,NA,"Sungkyunkwan University, South Korea",NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
talk,NA,2021-12-25,NA,Sungkyun Biotech International Conference 2021: The EEF1AKMT3/MAP2K7/TP53 axis suppresses tumor invasiveness and metastasis of gastric cancer,NA,Sungkyun Biotech International Conference 2021,NA,"Suwon, South Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA
poster,NA,2018-06-18,NA,Korean Society for Biochemistry and Molecular Biology (KSBMB) International Conference 2019: Depletion of MINA53 suppresses proliferation and survival of gastric cancer cells by regulating mitogen-activated protein kinase signaling pathway,NA,Korean Society for Biochemistry and Molecular Biology (KSBMB) International Conference 2019,NA,"Jeju, South Korea",NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Gene cloning and mutagenesis,NA,NA,NA,NA,"incl. point mutation, insertion, or deletion",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Recombinant protein expression and purification from E. Coli,NA,NA,NA,NA,.,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Genomic DNA preparation and total RNA extraction,NA,NA,NA,NA,.,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,"cDNA synthesis, conventional PCR, and Real-Time PCR analysis",NA,NA,NA,NA,.,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Mammalian cell cultures,NA,NA,NA,NA,.,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Cell viability assay,NA,NA,NA,NA,.,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,"Gel electrophoresis, Immunoblotting, and gels staining",NA,NA,NA,NA,.,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Immunoprecipitation and pulldown assay,NA,NA,NA,NA,.,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Enzyme assay,NA,NA,NA,NA,": In viro kinase and methyltransferase assay, ELISA",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,In-vitro tumorigenic responses phenotyping,NA,NA,NA,NA,": proliferation, migration, invasion, colony formation assay, and EMT signature analysis",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,In-vivo,NA,NA,NA,NA, tumor xenograft mouse model,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Gene overexpression,NA,NA,NA,NA,via transfection,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Transcription activity reporter assay,NA,NA,NA,NA,.,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Generation of lentiviral particle ,NA,NA,NA,NA,for viral transduction,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Generation of transient/stable knockdown cell lines,NA,NA,NA,NA, using siRNA/shRNA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
other software,NA,NA,NA,Paper figuring and illustration,NA,NA,NA,NA,"with Adobe Illustrator, Adobe Photoshop, and Corel Draw",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
other software,NA,NA,NA,Basic office tools,NA,NA,NA,NA,"ie. Microsoft Office Word, Excel, and PowerPoint ",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
other software,NA,NA,NA,Web development,NA,NA,NA,NA,"(HTML using R markdown, GitHub Pages, Netlify)",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
bioinformatics,NA,NA,NA,Big data analysis and data wrangling,NA,NA,NA,NA,in R (using tidyverse and dplyr),NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
bioinformatics,NA,NA,NA,Public dataset analysis of microarray/RNA sequencing,NA,NA,NA,NA," from Gene Expression Omnibus (GEO), The Cancer Genome Atlas (TCGA), and GTEx",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
bioinformatics,NA,NA,NA,Differential gene expression analysis,NA,NA,NA,NA,DGEs analysis using DESeq2 or limma,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
bioinformatics,NA,NA,NA,Functional gene enrichment analysis,NA,NA,NA,NA,(GSEA),NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
bioinformatics,NA,NA,NA,Statistical analysis and data visualization,NA,NA,NA,NA,"in R (main: ggplot2, pheatmap), or Python (matplotlib)",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
bioinformatics,NA,NA,NA,Sequence aligments and phylogenetic analysis,NA,NA,NA,NA,.,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
bioinformatics,NA,NA,NA,Protein 2D / 3D structure visualization,NA,NA,NA,NA,: customization using BIOVIA Discovery Studio and Chimera,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
volunteering,NA,2013-01-01,2016-01-01,Teaching,NA,NA,NA,Bimbel SOSMAS KAM BG-ITB,teaching elementary and junior high school students (weekly),NA,NA,NA,NA,NA,1,NA,y,NA,NA,NA,NA,NA
book,NA,2020-10-05,NA,Title : Dongeng Kecil (A Small Tale),NA,NA,NA,Self-Published,NA,NA,https://bit.ly/dongengkecil,NA,NA,NA,1,n,NA,NA,NA,NA,NA,NA
teaching,NA,2018-03-01,2020-12-25,Laboratory assistant: Molecular Immunology,NA,NA,NA,Sungkyunkwan University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,y,Teaching assistant to Taha Yasseri on data analytics and visualisation in social science of the internet.
